timestamp,grid_zone_id,power_consumption_kwh,outage_duration_min,load_factor,peak_demand_kwh
2026-05-01 00:00:00,Vijay Nagar Grid (Res),285.73,0,0.43,321.04
2026-05-01 00:00:00,Pithampur Hub (Ind),728.39,0,0.354,821.92
2026-05-01 00:00:00,Rajwada Central (Comm),141.54,0,0.15,162.5
2026-05-01 00:00:00,Palasia Grid (Sub),264.82,0,0.391,299.3
2026-05-01 00:00:00,Bhawarkua Grid (Edu),202.03,0,0.317,248.22
2026-05-01 01:00:00,Vijay Nagar Grid (Res),288.45,0,0.409,336.75
2026-05-01 01:00:00,Pithampur Hub (Ind),804.64,0,0.377,948.71
2026-05-01 01:00:00,Rajwada Central (Comm),185.69,0,0.183,209.15
2026-05-01 01:00:00,Palasia Grid (Sub),268.14,0,0.346,302.77
2026-05-01 01:00:00,Bhawarkua Grid (Edu),174.0,0,0.246,203.26
2026-05-01 02:00:00,Vijay Nagar Grid (Res),261.13,0,0.394,301.98
2026-05-01 02:00:00,Pithampur Hub (Ind),868.28,0,0.438,983.92
2026-05-01 02:00:00,Rajwada Central (Comm),172.69,0,0.15,195.67
2026-05-01 02:00:00,Palasia Grid (Sub),248.55,0,0.375,289.39
2026-05-01 02:00:00,Bhawarkua Grid (Edu),195.79,0,0.317,220.78
2026-05-01 03:00:00,Vijay Nagar Grid (Res),244.15,0,0.335,284.26
2026-05-01 03:00:00,Pithampur Hub (Ind),863.39,0,0.42,987.74
2026-05-01 03:00:00,Rajwada Central (Comm),205.34,0,0.156,232.14
2026-05-01 03:00:00,Palasia Grid (Sub),242.29,0,0.336,276.35
2026-05-01 03:00:00,Bhawarkua Grid (Edu),227.58,0,0.362,265.18
2026-05-01 04:00:00,Vijay Nagar Grid (Res),279.37,0,0.391,329.86
2026-05-01 04:00:00,Pithampur Hub (Ind),797.69,0,0.393,959.96
2026-05-01 04:00:00,Rajwada Central (Comm),185.89,0,0.196,208.73
2026-05-01 04:00:00,Palasia Grid (Sub),258.61,0,0.367,304.25
2026-05-01 04:00:00,Bhawarkua Grid (Edu),182.47,0,0.311,208.94
2026-05-01 05:00:00,Vijay Nagar Grid (Res),252.72,0,0.387,284.14
2026-05-01 05:00:00,Pithampur Hub (Ind),853.84,0,0.399,960.07
2026-05-01 05:00:00,Rajwada Central (Comm),204.65,0,0.211,233.12
