timestamp,intersection_id,congestion_index,vehicle_count,average_speed,weather_condition,is_peak_hour
2026-05-01 00:00:00,101,0.71,18,59.0,Sunny,0
2026-05-01 00:00:00,102,1.57,106,52.0,Sunny,0
2026-05-01 00:00:00,103,0.47,42,56.2,Sunny,0
2026-05-01 00:00:00,104,0.86,5,57.0,Sunny,0
2026-05-01 00:00:00,105,1.07,15,57.5,Sunny,0
2026-05-01 01:00:00,101,1.69,5,40.7,Foggy,0
2026-05-01 01:00:00,102,0.72,88,47.5,Foggy,0
2026-05-01 01:00:00,103,1.72,5,41.4,Foggy,0
2026-05-01 01:00:00,104,1.08,26,47.2,Foggy,0
2026-05-01 01:00:00,105,0.25,56,52.4,Foggy,0
2026-05-01 02:00:00,101,1.28,14,54.7,Sunny,0
2026-05-01 02:00:00,102,1.0,5,55.4,Sunny,0
2026-05-01 02:00:00,103,0.78,50,51.4,Sunny,0
2026-05-01 02:00:00,104,0.72,5,58.1,Sunny,0
2026-05-01 02:00:00,105,0.78,15,59.0,Sunny,0
2026-05-01 03:00:00,101,0.62,59,56.2,Sunny,0
2026-05-01 03:00:00,102,0.5,25,53.6,Sunny,0
2026-05-01 03:00:00,103,0.94,17,59.0,Sunny,0
2026-05-01 03:00:00,104,0.89,5,54.1,Sunny,0
2026-05-01 03:00:00,105,0.84,39,59.6,Sunny,0
2026-05-01 04:00:00,101,1.61,29,53.0,Sunny,0
2026-05-01 04:00:00,102,1.64,24,52.8,Sunny,0
2026-05-01 04:00:00,103,0.71,10,57.5,Sunny,0
2026-05-01 04:00:00,104,0.35,14,57.3,Sunny,0
2026-05-01 04:00:00,105,0.55,29,57.0,Sunny,0
2026-05-01 05:00:00,101,1.12,35,55.9,Sunny,0
2026-05-01 05:00:00,102,1.07,59,49.9,Sunny,0
2026-05-01 05:00:00,103,2.02,5,50.9,Sunny,0
2026-05-01 05:00:00,104,0.25,34,61.3,Sunny,0
2026-05-01 05:00:00,105,0.37,44,59.3,Sunny,0
2026-05-01 06:00:00,101,3.42,137,35.0,Sunny,0
2026-05-01 06:00:00,102,4.0,184,34.1,Sunny,0
2026-05-01 06:00:00,103,2.22,121,39.6,Sunny,0
2026-05-01 06:00:00,104,1.98,63,41.8,Sunny,0
2026-05-01 06:00:00,105,1.36,130,40.8,Sunny,0
2026-05-01 07:00:00,101,9.53,585,11.6,Rainy,0
2026-05-01 07:00:00,102,9.54,595,13.6,Rainy,0
2026-05-01 07:00:00,103,7.2,377,11.8,Rainy,0
2026-05-01 07:00:00,104,5.71,329,17.4,Rainy,0
2026-05-01 07:00:00,105,5.55,347,15.2,Rainy,0
2026-05-01 08:00:00,101,10.0,614,5.1,Sunny,1
2026-05-01 08:00:00,102,10.0,617,12.2,Sunny,1
2026-05-01 08:00:00,103,7.54,472,6.4,Sunny,1
2026-05-01 08:00:00,104,5.88,364,9.1,Sunny,1
2026-05-01 08:00:00,105,6.56,398,5.0,Sunny,1
2026-05-01 09:00:00,101,10.0,641,11.1,Sunny,1
2026-05-01 09:00:00,102,10.0,639,5.4,Sunny,1
2026-05-01 09:00:00,103,7.55,516,5.1,Sunny,1
2026-05-01 09:00:00,104,7.05,378,11.7,Sunny,1
2026-05-01 09:00:00,105,6.35,353,11.4,Sunny,1
2026-05-01 10:00:00,101,10.0,653,8.2,Sunny,1
2026-05-01 10:00:00,102,10.0,618,5.9,Sunny,1
2026-05-01 10:00:00,103,8.55,464,5.0,Sunny,1
2026-05-01 10:00:00,104,6.28,397,12.4,Sunny,1
2026-05-01 10:00:00,105,5.88,320,10.5,Sunny,1
2026-05-01 11:00:00,101,8.0,455,17.0,Foggy,0
2026-05-01 11:00:00,102,8.8,485,15.3,Foggy,0
2026-05-01 11:00:00,103,5.67,394,18.1,Foggy,0
2026-05-01 11:00:00,104,4.3,271,21.5,Foggy,0
2026-05-01 11:00:00,105,4.59,300,20.8,Foggy,0
2026-05-01 12:00:00,101,9.29,570,13.6,Rainy,0
2026-05-01 12:00:00,102,8.89,588,11.9,Rainy,0
2026-05-01 12:00:00,103,6.95,438,16.2,Rainy,0
2026-05-01 12:00:00,104,5.01,335,15.1,Rainy,0
2026-05-01 12:00:00,105,6.02,294,15.9,Rainy,0
2026-05-01 13:00:00,101,6.41,455,17.7,Sunny,0
2026-05-01 13:00:00,102,6.93,381,19.2,Sunny,0
2026-05-01 13:00:00,103,5.22,330,26.7,Sunny,0
